,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
1016,Naive Bayes,28,16,12,0.8800000000000001,0.85,0.9,0.8714285714285716
1017,K-Nearest Neighbor,28,17,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1018,Support Vector Machines,28,17,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1019,Naive Bayes,28,17,11,0.8800000000000001,0.85,0.9,0.8714285714285716
1020,K-Nearest Neighbor,28,18,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1021,Support Vector Machines,28,18,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1022,Naive Bayes,28,18,10,0.9199999999999999,0.95,0.9,0.9047619047619048
1023,K-Nearest Neighbor,28,19,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1024,Support Vector Machines,28,19,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1025,Naive Bayes,28,19,9,0.9199999999999999,0.95,0.9,0.9047619047619048
1026,K-Nearest Neighbor,28,20,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1027,Support Vector Machines,28,20,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1028,Naive Bayes,28,20,8,0.8800000000000001,0.85,0.9,0.838095238095238
1029,K-Nearest Neighbor,28,21,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1030,Support Vector Machines,28,21,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1031,Naive Bayes,28,21,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1032,K-Nearest Neighbor,28,22,6,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1033,Support Vector Machines,28,22,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1034,Naive Bayes,28,22,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1035,K-Nearest Neighbor,28,23,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1036,Support Vector Machines,28,23,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1037,Naive Bayes,28,23,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1038,K-Nearest Neighbor,28,24,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1039,Support Vector Machines,28,24,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1040,Naive Bayes,28,24,4,0.8,0.8833333333333334,0.7666666666666666,0.7647619047619048
1041,K-Nearest Neighbor,28,25,3,0.76,0.6499999999999999,0.9,0.7447619047619047
1042,Support Vector Machines,28,25,3,0.8,0.7666666666666666,0.8333333333333333,0.76
1043,Naive Bayes,28,25,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
1044,K-Nearest Neighbor,28,26,2,0.72,0.6499999999999999,0.8333333333333333,0.7047619047619047
1045,Support Vector Machines,28,26,2,0.64,0.6666666666666666,0.7,0.6133333333333333
1046,Naive Bayes,28,26,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
1047,K-Nearest Neighbor,28,27,1,0.64,0.6,0.7666666666666666,0.6399999999999999
1048,Support Vector Machines,28,27,1,0.64,0.6666666666666666,0.7,0.6133333333333333
1049,Naive Bayes,28,27,1,0.72,0.65,0.5666666666666667,0.5380952380952381
1050,K-Nearest Neighbor,29,9,20,0.72,0.6333333333333333,0.6,0.5533333333333333
1051,Support Vector Machines,29,9,20,0.68,0.7333333333333332,0.7,0.6266666666666666
1052,Naive Bayes,29,9,20,0.76,0.6333333333333333,0.6333333333333333,0.6333333333333333
1053,K-Nearest Neighbor,29,10,19,0.72,0.6333333333333333,0.6,0.5533333333333333
1054,Support Vector Machines,29,10,19,0.68,0.7333333333333332,0.7,0.6266666666666666
1055,Naive Bayes,29,10,19,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
1056,K-Nearest Neighbor,29,11,18,0.72,0.6333333333333333,0.6,0.5533333333333333
1057,Support Vector Machines,29,11,18,0.68,0.7333333333333332,0.7,0.6266666666666666
