,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
632,Naive Bayes,22,2,20,0.76,0.6666666666666666,0.6666666666666666,0.6533333333333333
633,K-Nearest Neighbor,22,3,19,0.72,0.6333333333333333,0.6,0.5533333333333333
634,Support Vector Machines,22,3,19,0.68,0.7333333333333332,0.7,0.6266666666666666
635,Naive Bayes,22,3,19,0.76,0.65,0.6333333333333333,0.6314285714285715
636,K-Nearest Neighbor,22,4,18,0.72,0.6333333333333333,0.6,0.5533333333333333
637,Support Vector Machines,22,4,18,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
638,Naive Bayes,22,4,18,0.76,0.65,0.6333333333333333,0.6314285714285715
639,K-Nearest Neighbor,22,5,17,0.72,0.6333333333333333,0.6,0.5533333333333333
640,Support Vector Machines,22,5,17,0.68,0.7333333333333332,0.7,0.6266666666666666
641,Naive Bayes,22,5,17,0.8,0.65,0.7,0.6714285714285715
642,K-Nearest Neighbor,22,6,16,0.72,0.6333333333333333,0.6,0.5533333333333333
643,Support Vector Machines,22,6,16,0.68,0.7333333333333332,0.7,0.6266666666666666
644,Naive Bayes,22,6,16,0.8400000000000001,0.75,0.9,0.8047619047619048
645,K-Nearest Neighbor,22,7,15,0.64,0.5333333333333333,0.6,0.49333333333333335
646,Support Vector Machines,22,7,15,0.68,0.7333333333333332,0.7,0.6266666666666666
647,Naive Bayes,22,7,15,0.8800000000000001,0.85,0.9,0.838095238095238
648,K-Nearest Neighbor,22,8,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
649,Support Vector Machines,22,8,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
650,Naive Bayes,22,8,14,0.9199999999999999,0.95,0.9,0.9047619047619048
651,K-Nearest Neighbor,22,9,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
652,Support Vector Machines,22,9,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
653,Naive Bayes,22,9,13,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
654,K-Nearest Neighbor,22,10,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
655,Support Vector Machines,22,10,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
656,Naive Bayes,22,10,12,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
657,K-Nearest Neighbor,22,11,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
658,Support Vector Machines,22,11,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
659,Naive Bayes,22,11,11,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
660,K-Nearest Neighbor,22,12,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
661,Support Vector Machines,22,12,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
662,Naive Bayes,22,12,10,0.8800000000000001,0.85,0.9,0.838095238095238
663,K-Nearest Neighbor,22,13,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
664,Support Vector Machines,22,13,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
665,Naive Bayes,22,13,9,0.9199999999999999,0.95,0.9,0.9047619047619048
666,K-Nearest Neighbor,22,14,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
667,Support Vector Machines,22,14,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
668,Naive Bayes,22,14,8,0.8800000000000001,0.85,0.9,0.838095238095238
669,K-Nearest Neighbor,22,15,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
670,Support Vector Machines,22,15,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
671,Naive Bayes,22,15,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
672,K-Nearest Neighbor,22,16,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
673,Support Vector Machines,22,16,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
674,Naive Bayes,22,16,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
675,K-Nearest Neighbor,22,17,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
676,Support Vector Machines,22,17,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
677,Naive Bayes,22,17,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
678,K-Nearest Neighbor,22,18,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
679,Support Vector Machines,22,18,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
680,Naive Bayes,22,18,4,0.8400000000000001,0.8833333333333334,0.8333333333333333,0.8247619047619048
681,K-Nearest Neighbor,22,19,3,0.76,0.6499999999999999,0.9,0.7314285714285715
682,Support Vector Machines,22,19,3,0.8,0.7666666666666666,0.8333333333333333,0.76
683,Naive Bayes,22,19,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
684,K-Nearest Neighbor,22,20,2,0.72,0.5833333333333333,0.8,0.6647619047619047
685,Support Vector Machines,22,20,2,0.6,0.6,0.5,0.5133333333333333
686,Naive Bayes,22,20,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
687,K-Nearest Neighbor,22,21,1,0.6799999999999999,0.5166666666666666,0.7,0.5847619047619047
688,Support Vector Machines,22,21,1,0.56,0.4,0.4333333333333333,0.4133333333333333
689,Naive Bayes,22,21,1,0.72,0.65,0.5666666666666667,0.5380952380952381
690,K-Nearest Neighbor,23,3,20,0.6799999999999999,0.6,0.5,0.49333333333333335
691,Support Vector Machines,23,3,20,0.68,0.7333333333333332,0.7,0.6266666666666666
692,Naive Bayes,23,3,20,0.76,0.65,0.6333333333333333,0.6314285714285715
693,K-Nearest Neighbor,23,4,19,0.72,0.6333333333333333,0.6,0.5533333333333333
694,Support Vector Machines,23,4,19,0.68,0.7333333333333332,0.7,0.6266666666666666
695,Naive Bayes,23,4,19,0.76,0.65,0.6333333333333333,0.6314285714285715
696,K-Nearest Neighbor,23,5,18,0.72,0.6333333333333333,0.6,0.5533333333333333
697,Support Vector Machines,23,5,18,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
698,Naive Bayes,23,5,18,0.76,0.65,0.6333333333333333,0.6314285714285715
699,K-Nearest Neighbor,23,6,17,0.72,0.6333333333333333,0.6,0.5533333333333333
700,Support Vector Machines,23,6,17,0.68,0.7333333333333332,0.7,0.6266666666666666
701,Naive Bayes,23,6,17,0.8400000000000001,0.75,0.7,0.7047619047619047
702,K-Nearest Neighbor,23,7,16,0.72,0.6333333333333333,0.6,0.5533333333333333
703,Support Vector Machines,23,7,16,0.68,0.7333333333333332,0.7,0.6266666666666666
704,Naive Bayes,23,7,16,0.8800000000000001,0.85,0.9,0.838095238095238
705,K-Nearest Neighbor,23,8,15,0.64,0.5333333333333333,0.6,0.49333333333333335
706,Support Vector Machines,23,8,15,0.68,0.7333333333333332,0.7,0.6266666666666666
707,Naive Bayes,23,8,15,0.8800000000000001,0.85,0.9,0.838095238095238
708,K-Nearest Neighbor,23,9,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
709,Support Vector Machines,23,9,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
710,Naive Bayes,23,9,14,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.8333333333333333
711,K-Nearest Neighbor,23,10,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
712,Support Vector Machines,23,10,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
713,Naive Bayes,23,10,13,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
714,K-Nearest Neighbor,23,11,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
715,Support Vector Machines,23,11,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
716,Naive Bayes,23,11,12,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
717,K-Nearest Neighbor,23,12,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
718,Support Vector Machines,23,12,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
719,Naive Bayes,23,12,11,0.8400000000000001,0.75,0.9,0.8047619047619048
720,K-Nearest Neighbor,23,13,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
721,Support Vector Machines,23,13,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
722,Naive Bayes,23,13,10,0.9199999999999999,0.95,0.9,0.9047619047619048
723,K-Nearest Neighbor,23,14,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
724,Support Vector Machines,23,14,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
725,Naive Bayes,23,14,9,0.9199999999999999,0.95,0.9,0.9047619047619048
726,K-Nearest Neighbor,23,15,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
727,Support Vector Machines,23,15,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
728,Naive Bayes,23,15,8,0.8800000000000001,0.85,0.9,0.838095238095238
729,K-Nearest Neighbor,23,16,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
730,Support Vector Machines,23,16,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
731,Naive Bayes,23,16,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
732,K-Nearest Neighbor,23,17,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
733,Support Vector Machines,23,17,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
734,Naive Bayes,23,17,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
735,K-Nearest Neighbor,23,18,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
736,Support Vector Machines,23,18,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
737,Naive Bayes,23,18,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
738,K-Nearest Neighbor,23,19,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
739,Support Vector Machines,23,19,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
740,Naive Bayes,23,19,4,0.8400000000000001,0.8833333333333334,0.8333333333333333,0.8247619047619048
741,K-Nearest Neighbor,23,20,3,0.72,0.6166666666666666,0.9,0.7114285714285714
742,Support Vector Machines,23,20,3,0.8,0.7666666666666666,0.8333333333333333,0.76
743,Naive Bayes,23,20,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
744,K-Nearest Neighbor,23,21,2,0.72,0.5499999999999999,0.7,0.6114285714285714
745,Support Vector Machines,23,21,2,0.6,0.6,0.5,0.5133333333333333
746,Naive Bayes,23,21,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
747,K-Nearest Neighbor,23,22,1,0.64,0.5833333333333333,0.8333333333333333,0.6447619047619048
748,Support Vector Machines,23,22,1,0.56,0.4,0.4333333333333333,0.4133333333333333
749,Naive Bayes,23,22,1,0.72,0.65,0.5666666666666667,0.5380952380952381
750,K-Nearest Neighbor,24,4,20,0.6799999999999999,0.6,0.5,0.49333333333333335
751,Support Vector Machines,24,4,20,0.68,0.7333333333333332,0.7,0.6266666666666666
752,Naive Bayes,24,4,20,0.76,0.65,0.6333333333333333,0.6314285714285715
753,K-Nearest Neighbor,24,5,19,0.72,0.6333333333333333,0.6,0.5533333333333333
754,Support Vector Machines,24,5,19,0.68,0.7333333333333332,0.7,0.6266666666666666
755,Naive Bayes,24,5,19,0.76,0.65,0.6333333333333333,0.6314285714285715
756,K-Nearest Neighbor,24,6,18,0.72,0.6333333333333333,0.6,0.5533333333333333
757,Support Vector Machines,24,6,18,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
758,Naive Bayes,24,6,18,0.8400000000000001,0.75,0.7,0.7047619047619047
759,K-Nearest Neighbor,24,7,17,0.72,0.6333333333333333,0.6,0.5533333333333333
760,Support Vector Machines,24,7,17,0.68,0.7333333333333332,0.7,0.6266666666666666
761,Naive Bayes,24,7,17,0.8400000000000001,0.75,0.7,0.7047619047619047
762,K-Nearest Neighbor,24,8,16,0.72,0.6333333333333333,0.6,0.5533333333333333
763,Support Vector Machines,24,8,16,0.68,0.7333333333333332,0.7,0.6266666666666666
764,Naive Bayes,24,8,16,0.8800000000000001,0.85,0.9,0.838095238095238
765,K-Nearest Neighbor,24,9,15,0.64,0.5333333333333333,0.6,0.49333333333333335
766,Support Vector Machines,24,9,15,0.68,0.7333333333333332,0.7,0.6266666666666666
767,Naive Bayes,24,9,15,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
768,K-Nearest Neighbor,24,10,14,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
769,Support Vector Machines,24,10,14,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
770,Naive Bayes,24,10,14,0.8800000000000001,0.9333333333333332,0.8333333333333333,0.8666666666666666
771,K-Nearest Neighbor,24,11,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
772,Support Vector Machines,24,11,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
773,Naive Bayes,24,11,13,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
774,K-Nearest Neighbor,24,12,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
775,Support Vector Machines,24,12,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
776,Naive Bayes,24,12,12,0.8400000000000001,0.75,0.9,0.8047619047619048
777,K-Nearest Neighbor,24,13,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
778,Support Vector Machines,24,13,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
779,Naive Bayes,24,13,11,0.8800000000000001,0.85,0.9,0.8714285714285716
780,K-Nearest Neighbor,24,14,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
781,Support Vector Machines,24,14,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
782,Naive Bayes,24,14,10,0.9199999999999999,0.95,0.9,0.9047619047619048
783,K-Nearest Neighbor,24,15,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
784,Support Vector Machines,24,15,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
785,Naive Bayes,24,15,9,0.9199999999999999,0.95,0.9,0.9047619047619048
786,K-Nearest Neighbor,24,16,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
787,Support Vector Machines,24,16,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
788,Naive Bayes,24,16,8,0.8800000000000001,0.85,0.9,0.838095238095238
789,K-Nearest Neighbor,24,17,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
790,Support Vector Machines,24,17,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
791,Naive Bayes,24,17,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
792,K-Nearest Neighbor,24,18,6,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
793,Support Vector Machines,24,18,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
794,Naive Bayes,24,18,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
795,K-Nearest Neighbor,24,19,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
796,Support Vector Machines,24,19,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
797,Naive Bayes,24,19,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
798,K-Nearest Neighbor,24,20,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
799,Support Vector Machines,24,20,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
800,Naive Bayes,24,20,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
801,K-Nearest Neighbor,24,21,3,0.76,0.6499999999999999,0.9,0.7447619047619047
802,Support Vector Machines,24,21,3,0.8,0.7666666666666666,0.8333333333333333,0.76
803,Naive Bayes,24,21,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
804,K-Nearest Neighbor,24,22,2,0.72,0.6499999999999999,0.8333333333333333,0.7047619047619047
805,Support Vector Machines,24,22,2,0.6,0.6,0.5,0.5133333333333333
806,Naive Bayes,24,22,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
807,K-Nearest Neighbor,24,23,1,0.6799999999999999,0.6166666666666666,0.8333333333333333,0.6780952380952381
808,Support Vector Machines,24,23,1,0.6,0.6,0.5,0.5133333333333333
809,Naive Bayes,24,23,1,0.72,0.65,0.5666666666666667,0.5380952380952381
810,K-Nearest Neighbor,25,5,20,0.72,0.6333333333333333,0.6,0.5533333333333333
811,Support Vector Machines,25,5,20,0.68,0.7333333333333332,0.7,0.6266666666666666
812,Naive Bayes,25,5,20,0.76,0.65,0.6333333333333333,0.6314285714285715
813,K-Nearest Neighbor,25,6,19,0.72,0.6333333333333333,0.6,0.5533333333333333
814,Support Vector Machines,25,6,19,0.68,0.7333333333333332,0.7,0.6266666666666666
